State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Rhode Island,2010,51099,73286,11481,14838,828611, 6.16 , 1.38 , 8.84 , 1.79 ,11608,16441,2946,3895,51527,22.52,5.71,31.90,7.56
South Carolina,2010,173262,225827,84177,107755,3544890, 4.88 , 2.37 , 6.37 , 3.03 ,95176,126541,49397,64459,953961,9.97,5.17,13.26,6.75
South Dakota,2010,43183,53735,18417,21851,611383, 7.06 , 3.01 , 8.78 , 3.57 ,741,1150,703,909,7810,9.49,9.00,14.73,11.64
Tennessee,2010,272388,366395,109468,136919,4850104, 5.61 , 2.25 , 7.55 , 2.82 ,117715,156172,50804,63727,771351,15.26,6.58,20.24,8.26
Texas,2010,1383649,1916136,497937,671586,18279737, 7.56 , 2.72 , 10.48 , 3.67 ,391104,544073,180007,242133,2196259,17.80,8.19,24.77,11.02
Utah,2010,63466,83005,27147,33954,1892858, 3.35 , 1.43 , 4.38 , 1.79 ,2869,3932,1507,1982,22683,12.65,6.64,17.33,8.74
Vermont,2010,30579,35888,14887,16966,496508, 6.15 , 2.99 , 7.22 , 3.41 ,711,1044,472,678,5276,13.48,8.95,19.80,12.86
Virginia,2010,347158,446686,108567,145977,6147347, 5.64 , 1.76 , 7.26 , 2.37 ,192473,245082,58372,81059,1192554,16.13,4.89,20.55,6.79
Washington,2010,401324,454414,100246,118481,5143186, 7.80 , 1.94 , 8.83 , 2.30 ,56935,65536,18940,22398,207299,27.46,9.13,31.61,10.80
West Virginia,2010,30621,46262,16185,22866,1465576, 2.08 , 1.10 , 3.15 , 1.56 ,3340,5050,2042,2901,52816,6.32,3.86,9.56,5.49
Wisconsin,2010,166573,232832,65719,88443,4347494, 3.83 , 1.51 , 5.35 , 2.03 ,47571,69823,25509,35072,252719,18.82,10.09,27.62,13.87
Wyoming,2010,19520,25707,6245,8357,428224, 4.55 , 1.45 , 6.00 , 1.95 ,616,828,268,355,4403,13.99,6.10,18.81,8.07
Alabama,2009,175098,266893,88627,120501,3582533, 4.88 , 2.47 , 7.44 , 3.36 ,95293,145517,47091,66148,890385,10.70,5.28,16.34,7.42
Alaska,2009,35477,49455,21901,27186,514961, 6.88 , 4.25 , 9.60 , 5.27 ,3285,4676,2347,2900,18755,17.51,12.51,24.93,15.46
Arizona,2009,281618,382359,78191,118818,4863914, 5.78 , 1.60 , 7.86 , 2.44 ,31538,42977,12545,17917,199178,15.83,6.29,21.57,8.99
Arkansas,2009,109239,174716,64896,80104,2181723, 5.00 , 2.97 , 8.00 , 3.67 ,38644,63628,25454,32391,315923,12.23,8.05,20.14,10.25
California,2009,2199797,2706300,1031107,1202382,27526562, 7.99 , 3.74 , 9.83 , 4.36 ,605991,760068,282516,332196,1892200,32.02,14.93,40.16,17.55
Colorado,2009,197739,260766,64024,86819,3796659, 5.20 , 1.68 , 6.86 , 2.28 ,27716,37039,12190,16693,161517,17.15,7.54,22.93,10.33
Connecticut,2009,210098,263007,54853,74569,2710935, 7.75 , 2.02 , 9.70 , 2.75 ,69829,85485,23715,29636,275128,25.38,8.61,31.07,10.77
Delaware,2009,48365,60103,14045,20839,678358, 7.12 , 2.07 , 8.86 , 3.07 ,23021,29155,7304,11302,139555,16.49,5.23,20.89,8.09
Florida,2009,1787609,2073855,300955,404870,14480550, 12.34 , 2.07 , 14.32 , 2.79 ,625569,729530,142944,194395,2169193,28.83,6.58,33.63,8.96
Georgia,2009,804425,1038285,176155,229526,7246554, 11.10 , 2.43 , 14.32 , 3.16 ,416190,539402,100228,134846,2105465,19.76,4.76,25.61,6.40
Hawaii,2009,49511,70382,13139,19030,1004822, 4.92 , 1.30 , 7.00 , 1.89 ,2645,3579,599,877,21892,12.08,2.73,16.35,4.00
Idaho,2009,84346,109429,25367,32767,1126894, 7.48 , 2.25 , 9.71 , 2.90 ,1436,1927,493,679,8140,17.64,6.06,23.67,8.35
Illinois,2009,580543,735171,252421,297582,9736342, 5.96 , 2.59 , 7.55 , 3.05 ,287281,358968,162512,188818,1351518,21.25,12.02,26.56,13.97
Indiana,2009,450163,548974,114523,143331,4836956, 9.30 , 2.36 , 11.34 , 2.96 ,133295,164921,44021,54850,397945,33.49,11.06,41.44,13.78
Iowa,2009,108221,129651,43629,52442,2299738, 4.70 , 1.89 , 5.63 , 2.28 ,12096,16117,5659,7885,62870,19.24,9.00,25.63,12.54
Kansas,2009,109558,127514,43138,51779,2116539, 5.17 , 2.03 , 6.02 , 2.44 ,28470,33925,12557,15420,127373,22.35,9.85,26.63,12.10
Kentucky,2009,170690,237007,91706,113344,3296902, 5.17 , 2.78 , 7.18 , 3.43 ,39412,56517,23153,29242,235516,16.73,9.83,23.99,12.41
Louisiana,2009,234849,345772,119978,159758,3369681, 6.96 , 3.56 , 10.26 , 4.74 ,142321,210870,82171,109875,1016830,13.99,8.08,20.73,10.80
Maine,2009,38623,46275,9278,11484,1046742, 3.68 , 0.88 , 4.42 , 1.09 ,545,878,128,241,10997,4.96,1.16,7.98,2.19
Maryland,2009,251882,322100,94347,116602,4349056, 5.79 , 2.16 , 7.40 , 2.68 ,149584,193658,62298,78974,1228102,12.18,5.07,15.76,6.43
Massachusetts,2009,410422,523899,34044,45360,5160707, 7.95 , 0.65 , 10.15 , 0.87 ,76006,104079,8574,11730,301163,25.23,2.84,34.55,3.89
Michigan,2009,344203,474651,121184,166662,7622155, 4.51 , 1.58 , 6.22 , 2.18 ,66836,125211,57026,81224,1000938,6.67,5.69,12.50,8.11
