"","YEAR","STATENAME","population.16.b","p1.pop.b","p1.y1.raw.b","p1.y1.notemployed.rate.b","p1.y2.raw.b","p1.y2.unemployed.rate.b","p1.y3.raw.b","p1.y3.idle.rate.b","p1.y4.raw.b","p1.y4.cfw.rate.b","p1.marry.raw.b","p1.marriage.rate.b","p2.pop.b","p2.y1.raw.b","p2.y1.notemployed.rate.b","p2.y2.raw.b","p2.y2.unemployed.rate.b","p2.y3.raw.b","p2.y3.idle.rate.b","p2.y4.raw.b","p2.y4.cfw.rate.b","p2.marry.raw.b","p2.marriage.rate.b","p3.pop.b","p3.y1.raw.b","p3.y1.notemployed.rate.b","p3.y2.raw.b","p3.y2.unemployed.rate.b","p3.y3.raw.b","p3.y3.idle.rate.b","p3.y4.raw.b","p3.y4.cfw.rate.b","p3.marry.raw.b","p3.marriage.rate.b","p4.pop.b","p4.y1.raw.b","p4.y1.notemployed.rate.b","p4.y2.raw.b","p4.y2.unemployed.rate.b","p4.y3.raw.b","p4.y3.idle.rate.b","p4.y4.raw.b","p4.y4.cfw.rate.b","p4.marry.raw.b","p4.marriage.rate.b","p6.pop.b","p6.y1.raw.b","p6.y1.notemployed.rate.b","p6.y2.raw.b","p6.y2.unemployed.rate.b","p6.y3.raw.b","p6.y3.idle.rate.b","p6.y4.raw.b","p6.y4.cfw.rate.b","p6.marry.raw.b","p6.marriage.rate.b","p6.degree.raw.b","p6.degree.rate.b","p1.disab.raw.b","p1.disab.rate.b","p2.disab.raw.b","p2.disab.rate.b","p3.disab.raw.b","p3.disab.rate.b","p4.disab.raw.b","p4.disab.rate.b","p6.disab.raw.b","p6.disab.rate.b"
"1",1980,"Alabama",746760.206666667,156863.995833333,36540.3466666667,23.2942852644723,12968.62,9.72946149171205,22145.7983333333,14.117833869834,NA,NA,113211.699166667,72.1718827607536,268652.0325,89715.62,33.3947296676417,28272.7483333333,13.6445455498342,45870.4275,17.0742901414677,NA,NA,152211.470833333,56.6574797208479,161174.734166667,37054.4891666667,22.9902592104477,12968.62,9.46000975352739,22145.7983333333,13.7402418858237,NA,NA,116574.1725,72.3278205499962,357493.135833333,122835.1975,34.3601555352008,28839.1408333333,10.9447667976206,89074.0808333333,24.9163052112029,NA,NA,245051.886666667,68.5472984244688,520853.64,219652.206666667,42.1715794607227,60327.3116666667,16.6867261596769,127114.985833333,24.405125753433,NA,NA,280363.856666667,53.8277618001607,9606.1675,1.84431225247845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1980,"Alaska",9389.21666666667,2698.13,462.38,17.1370541819705,274.215833333333,10.9250823135375,188.164166666667,6.97387326284006,NA,NA,1679.93416666667,62.2629067786455,3550.85333333333,845.888333333333,23.8221141209249,488.441666666667,15.2953168090086,276.239166666667,7.77951497104921,NA,NA,2100.29916666667,59.1491387985611,2805.16916666667,462.38,16.4831413910569,274.215833333333,10.4782311586464,188.164166666667,6.70776539620457,NA,NA,1679.93416666667,59.8870894001342,5862.76916666667,1177.21083333333,20.079433453162,524.414166666667,10.0655841593534,629.66,10.7399759755167,NA,NA,3977.56583333333,67.8444898691929,8056.34916666667,2071.26333333333,25.709701633877,915.141666666667,13.2624854277148,999.955,12.4120116856074,NA,NA,4881.73,60.5948165727259,230.590833333333,2.86222491804859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1980,"Arizona",30344.5108333333,10309.6866666667,1906.12083333333,18.4886398099393,718.693333333333,7.87845773949819,1099.27583333333,10.6625532751399,NA,NA,7510.14666666667,72.8455374977448,13615.375,2373.66166666667,17.4336855699286,816.751666666667,6.77326398232832,1468.75833333333,10.7874982020938,NA,NA,8738.6125,64.1819450437465,11100.0233333333,2537.77166666667,22.8627597479525,718.693333333333,7.74375166896618,1181.08416666667,10.6403755307421,NA,NA,7979.84,71.8902993297011,21359.68,7064.3925,33.073494078563,960.2925,6.29469676013629,4625.76833333333,21.656543231609,NA,NA,14109.1608333333,66.0551133412735,26273.1533333333,9041.4125,34.4131227237538,1343.42416666667,7.23236733922238,5851.38833333333,22.2713591288243,NA,NA,15357.4025,58.4528332216435,1472.82666666667,5.60582373946739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1980,"Arkansas",227908.3625,40581.5166666667,11455.3666666667,28.2280397767292,3948.15,11.9372140906988,6485.37166666667,15.9810973057932,NA,NA,28169.285,69.4140764412041,73084.8,25451.995,34.8252919895792,7583.72666666667,13.7345219588373,13141.3033333333,17.9808979888203,NA,NA,39796.9416666667,54.4531033356685,41720.9883333333,11797.0591666667,28.2760779117049,4289.8425,12.5383501760475,6485.37166666667,15.5446261599827,NA,NA,29003.9008333333,69.5187290425726,92767.56,34891.3891666667,37.6116275631985,8922.145,13.3568412447125,24061.3208333333,25.9372142948821,NA,NA,61058.815,65.8191451839415,137890.734166667,59579.7033333333,43.2079092865806,16725.6758333333,17.5991744873875,33124.725,24.022444437755,NA,NA,67167.2175,48.710464779175,2773.71916666667,2.01153412042473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1980,"California",1329211.065,297603.7875,73771.6283333333,24.788538127504,30313.6825,11.9276720410633,39872.7358333333,13.3979262052682,NA,NA,183752.863333333,61.7441279484164,486440.025833333,159861.700833333,32.8635992812207,61566.2508333333,15.8616800714406,78759.9533333333,16.1910922520012,NA,NA,239608.424166667,49.2575469619687,316648.43,75097.9733333333,23.7165152953177,31086.9216666667,11.4022962869966,40105.1,12.6654978204061,NA,NA,194990.976666667,61.5796442340379,682171.238333333,209882.086666667,30.766774509498,55479.4858333333,10.5120846316552,143498.8875,21.0356109194216,NA,NA,402225.745833333,58.9625776096985,971446.2225,352775.95,36.3145114808453,110355.075,15.1373440413881,192758.425,19.8424185029964,NA,NA,448751.259166667,46.1941432035026,42423.4733333333,4.36704290476906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1980,"Colorado",49320.7783333333,15156.9358333333,876.690833333333,5.7840901549857,730.9375,4.86928661349631,145.753333333333,0.961627963171756,NA,NA,12678.765,83.6499219856608,18824.4783333333,2370.50916666667,12.5926951317907,1814.4,9.93192103491449,338.0575,1.7958399378398,NA,NA,13451.34,71.4566415164936,16099.0833333333,876.690833333333,5.44559472847833,730.9375,4.58172369028911,145.753333333333,0.905351753981852,NA,NA,13620.9125,84.6067581487559,32317.7575,4488.6375,13.889074760215,2320.64,7.69704302787153,2048.58166666667,6.33887319275376,NA,NA,24932.3266666667,77.1474526556079,40697.6366666667,8696.03916666667,21.3674303446449,5090.00916666667,13.722805842328,3067.05583333333,7.53620132405723,NA,NA,27082.78,66.5463211582065,1737.99583333333,4.27050800902362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1980,"Connecticut",141143.475833333,29017.7008333333,2806.33583333333,9.67111712072525,1715.0975,6.14147781875345,1091.23833333333,3.76059543656126,NA,NA,24052.2533333333,82.888211824501,52218.6958333333,11929.3575,22.8449931765339,5337.56166666667,11.698278135632,5208.59166666667,9.97457248509414,NA,NA,31378.4316666667,60.090416211882,29791.2416666667,2806.33583333333,9.4200029147269,1715.0975,5.97594878328121,1091.23833333333,3.66295015677147,NA,NA,24825.7941666667,83.3325258626067,72127.4658333333,15365.7208333333,21.3035639832949,4298.42166666667,7.03964941683203,10936.005,15.1620535584462,NA,NA,55159.5125,76.4750457578232,99854.4216666667,29184.3416666667,29.2268896855561,9750.69166666667,12.1245935155683,15853.7291666667,15.876842409232,NA,NA,57333.8933333333,57.4174807448437,2515.87916666667,2.51954708131519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1980,"Delaware",61628.2366666667,12508.7966666667,2629.04333333333,21.0175559119862,1300.39833333333,11.6313120975848,1280.55083333333,10.2372024060934,NA,NA,8317.18583333333,66.4906949482751,21054.6458333333,6112.68333333333,29.0324680914644,2197.60333333333,12.821814477117,3134.665,14.8882342871674,NA,NA,11573.0425,54.9666928221503,13553.7,2659.84833333333,19.6245182742228,1300.39833333333,10.6640288113933,1311.35583333333,9.67526087587399,NA,NA,8877.79416666667,65.5008902858014,31902.97,9910.7525,31.0652973688657,2279.6825,9.39227048562329,7183.1925,22.5157485337572,NA,NA,19786.7416666667,62.0216289162629,43155.4116666667,15295.0575,35.4418065065382,4565.86083333333,14.0807702451036,8583.89166666667,19.8906494809245,NA,NA,21135.4333333333,48.9751632925759,1359.20166666667,3.1495509234512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1980,"Florida",1071223.97833333,245923.439166667,36509.1916666667,14.8457551628187,11014.3491666667,4.99678777310488,23579.9691666667,9.58833742996173,NA,NA,172309.994166667,70.0665193812165,398115.708333333,98533.1391666667,24.7498747485158,24971.8475,7.69419432231832,54752.4125,13.7528892615704,NA,NA,222850.5675,55.976331211079,251758.445833333,36634.8783333333,14.551598542035,11014.3491666667,4.87063351826227,23705.6558333333,9.41603200435497,NA,NA,176254.55,70.0093891255916,541182.530833333,129576.045,23.9431314976989,25583.2975,5.85176014520315,96820.4575,17.8905363687391,NA,NA,365598.766666667,67.5555373348256,771854.98,238098.768333333,30.8476040840383,56572.5175,9.58322282228415,139047.21,18.0146806852241,NA,NA,421231.461666667,54.5739125329821,13175.1483333333,1.70694608115806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1980,"Georgia",737131.741666667,157693.5875,25797.2083333333,16.3590725167143,8671.91833333333,6.16918500655052,16637.5858333333,10.5505785600403,NA,NA,120365.145,76.3284968705528,264467.316666667,67828.2741666667,25.6471291128034,21106.2608333333,9.6930957913811,39163.46,14.8084309598685,NA,NA,157023.094166667,59.3733456919283,162917.003333333,26522.4825,16.2797510126884,8671.91833333333,5.9778942553144,17003.1516666667,10.4366955681585,NA,NA,124921.875833333,76.6782308030422,372877.624166667,101347.833333333,27.1799182264778,27258.8016666667,9.12310655456723,71780.76,19.2504873845463,NA,NA,261579.556666667,70.1515831772591,537680.206666667,179602.264166667,33.4031757055194,52621.2175,12.8125943817367,105901.281666667,19.6959606014137,NA,NA,301939.476666667,56.155959048322,16620.8,3.09120547751612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
