State ,Year,SSI_recip
Florida,1987,196000
Florida,1988,202200
Florida,1989,210900
Florida,1990,221754
Florida,1991,241368
Florida,1992,266801
Florida,1993,292769
Florida,1994,320038
Florida,1995,338246
Florida,1996,352775
Florida,1997,353102
Florida,1998,361892
Florida,1999,366517
Florida,2000,376555
Florida,2001,386334
Florida,2002,396976
Florida,2003,409400
Florida,2004,412970
Florida,2005,422466
Florida,2006,427902
Florida,2007,431015
Florida,2008,444840
Florida,2009,463573
Florida,2010,484363
Georgia,1980,154500
Georgia,1981,150400
Georgia,1982,145300
Georgia,1983,147900
Georgia,1984,151500
Georgia,1985,152600
Georgia,1986,154500
Georgia,1987,155300
Georgia,1988,154800
Georgia,1989,156900
Georgia,1990,159518
Georgia,1991,166364
Georgia,1992,177041
Georgia,1993,186808
Georgia,1994,194087
Georgia,1995,198933
Georgia,1996,200894
Georgia,1997,199370
Georgia,1998,199408
Georgia,1999,196784
Georgia,2000,196780
Georgia,2001,198063
Georgia,2002,198599
Georgia,2003,199733
Georgia,2004,199898
Georgia,2005,202747
Georgia,2006,205793
Georgia,2007,208016
Georgia,2008,212803
Georgia,2009,220238
Georgia,2010,228498
Hawaii,1980,10200
Hawaii,1981,10200
Hawaii,1982,9800
Hawaii,1983,10000
Hawaii,1984,10800
Hawaii,1985,11300
Hawaii,1986,11800
Hawaii,1987,12200
Hawaii,1988,12900
Hawaii,1989,13300
Hawaii,1990,13776
Hawaii,1991,14443
Hawaii,1992,15614
Hawaii,1993,16967
Hawaii,1994,18043
Hawaii,1995,18731
Hawaii,1996,19513
Hawaii,1997,19442
Hawaii,1998,19648
Hawaii,1999,20404
Hawaii,2000,21009
Hawaii,2001,21303
Hawaii,2002,21566
Hawaii,2003,21753
Hawaii,2004,22251
Hawaii,2005,22689
Hawaii,2006,22924
Hawaii,2007,23262
Hawaii,2008,23610
Hawaii,2009,24266
Hawaii,2010,24897
Idaho,1980,7500
Idaho,1981,27400
Idaho,1982,7200
Idaho,1983,7500
Idaho,1984,8000
Idaho,1985,8300
Idaho,1986,8700
Idaho,1987,9000
Idaho,1988,9300
Idaho,1989,9700
Idaho,1990,10332
Idaho,1991,11412
Idaho,1992,13355
Idaho,1993,14477
Idaho,1994,15728
Idaho,1995,16605
Idaho,1996,17417
Idaho,1997,17020
Idaho,1998,17489
Idaho,1999,17761
Idaho,2000,18347
Idaho,2001,18840
Idaho,2002,19394
Idaho,2003,20258
Idaho,2004,20993
Idaho,2005,22200
Idaho,2006,23053
Idaho,2007,23697
Idaho,2008,24655
Idaho,2009,26048
Idaho,2010,27236
Illinois,1980,123600
Illinois,1981,121700
Illinois,1982,117200
Illinois,1983,119800
Illinois,1984,127400
Illinois,1985,134500
Illinois,1986,145300
Illinois,1987,153000
Illinois,1988,157900
Illinois,1989,164400
Illinois,1990,176690
Illinois,1991,192243
Illinois,1992,219508
Illinois,1993,244950
Illinois,1994,260284
Illinois,1995,266563
Illinois,1996,268422
Illinois,1997,252734
Illinois,1998,255099
Illinois,1999,251112
Illinois,2000,248833
Illinois,2001,249004
Illinois,2002,252200
Illinois,2003,255445
Illinois,2004,255624
Illinois,2005,258553
Illinois,2006,261052
Illinois,2007,261901
Illinois,2008,265628
Illinois,2009,269392
Illinois,2010,273279
Indiana,1980,41400
Indiana,1981,40900
Indiana,1982,39700
Indiana,1983,40500
Indiana,1984,44300
Indiana,1985,47500
Indiana,1986,50900
Indiana,1987,53300
Indiana,1988,54700
Indiana,1989,56800
Indiana,1990,60148
Indiana,1991,65512
Indiana,1992,75401
Indiana,1993,81976
Indiana,1994,85773
Indiana,1995,88757
Indiana,1996,90656
Indiana,1997,88542
Indiana,1998,89541
Indiana,1999,88315
Indiana,2000,88017
Indiana,2001,89118
Indiana,2002,90893
Indiana,2003,93963
Indiana,2004,96191
Indiana,2005,98555
Indiana,2006,101058
Indiana,2007,104366
Indiana,2008,108094
Indiana,2009,112791
Indiana,2010,118030
Iowa,1980,25600
Iowa,1981,25000
Iowa,1982,24200
Iowa,1983,25500
Iowa,1984,26300
Iowa,1985,27200
Iowa,1986,28800
Iowa,1987,30000
Iowa,1988,30900
Iowa,1989,31600
Iowa,1990,32724
Iowa,1991,34472
Iowa,1992,37192
Iowa,1993,39379
Iowa,1994,40787
Iowa,1995,41571
Iowa,1996,41936
Iowa,1997,40743
Iowa,1998,40815
Iowa,1999,40450
Iowa,2000,40298
Iowa,2001,40716
Iowa,2002,41596
Iowa,2003,41869
Iowa,2004,42618
Iowa,2005,43388
Iowa,2006,43896
Iowa,2007,44659
Iowa,2008,45434
Iowa,2009,46609
Iowa,2010,47634
Kansas,1980,20400
Kansas,1981,19800
Kansas,1982,18900
Kansas,1983,19500
Kansas,1984,20400
Kansas,1985,21100
Kansas,1986,21900
Kansas,1987,22400
Kansas,1988,22900
Kansas,1989,23300
Kansas,1990,24520
Kansas,1991,26199
Kansas,1992,30113
Kansas,1993,32997
Kansas,1994,35550
Kansas,1995,37552
Kansas,1996,38263
Kansas,1997,36307
Kansas,1998,36507
Kansas,1999,36290
Kansas,2000,36277
Kansas,2001,36600
Kansas,2002,37063
Kansas,2003,37805
Kansas,2004,38476
Kansas,2005,39154
Kansas,2006,39501
Kansas,2007,40405
Kansas,2008,41903
Kansas,2009,44045
Kansas,2010,45841
Kentucky,1980,93700
Kentucky,1981,91700
Kentucky,1982,89100
Kentucky,1983,91700
Kentucky,1984,95500
Kentucky,1985,98100
Kentucky,1986,100600
Kentucky,1987,103500
