State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Mississippi,2010," 123,539 "," 179,006 "," 57,893 "," 78,960 "," 2,211,742 ", 5.58 , 2.61 , 8.09 , 3.57 ," 72,214 "," 106,268 "," 33,374 "," 47,222 "," 773,869 ", 9.33 , 4.31 , 13.73 , 6.10 
Missouri,2010," 309,391 "," 415,415 "," 129,946 "," 160,569 "," 4,563,491 ", 6.77 , 2.84 , 9.10 , 3.51 ," 89,178 "," 123,070 "," 40,430 "," 52,478 "," 511,505 ", 17.43 , 7.90 , 24.06 , 10.25 
Montana,2010," 40,121 "," 54,539 "," 14,736 "," 18,452 "," 765,852 ", 5.23 , 1.92 , 7.12 , 2.40 , 472 , 747 , 219 , 313 ," 4,133 ", 11.42 , 5.31 , 18.08 , 7.58 
Nebraska,2010," 57,341 "," 67,260 "," 18,426 "," 23,013 "," 1,367,120 ", 4.19 , 1.34 , 4.91 , 1.68 ," 9,085 "," 11,007 "," 3,959 "," 5,142 "," 60,954 ", 14.90 , 6.49 , 18.05 , 8.43 
Nevada,2010," 80,569 "," 106,970 "," 43,132 "," 55,785 "," 2,035,543 ", 3.95 , 2.11 , 5.25 , 2.74 ," 22,442 "," 29,604 "," 11,061 "," 14,657 "," 173,233 ", 12.95 , 6.38 , 17.08 , 8.46 
New Hamp,2010," 32,307 "," 40,137 "," 10,257 "," 13,018 "," 1,029,236 ", 3.13 , 0.99 , 3.89 , 1.26 ," 2,400 "," 2,815 ", 660 , 837 ," 12,839 ", 18.69 , 5.14 , 21.92 , 6.52 
New Jersey,2010," 432,323 "," 532,699 "," 135,334 "," 160,341 "," 6,726,680 ", 6.42 , 2.01 , 7.91 , 2.38 ," 220,106 "," 268,596 "," 74,298 "," 89,302 "," 933,354 ", 23.58 , 7.96 , 28.77 , 9.56 
New Mexico,2010," 101,229 "," 129,597 "," 32,022 "," 38,681 "," 1,540,507 ", 6.57 , 2.07 , 8.41 , 2.51 ," 8,827 "," 10,590 "," 3,283 "," 3,835 "," 37,145 ", 23.76 , 8.83 , 28.51 , 10.32 
New York,2010," 460,311 "," 627,659 "," 238,423 "," 295,079 "," 15,053,173 ", 3.05 , 1.58 , 4.16 , 1.96 ," 222,595 "," 291,884 "," 141,063 "," 169,462 "," 2,442,295 ", 9.11 , 5.77 , 11.95 , 6.93 
North Carolina,2010," 334,136 "," 416,568 "," 132,623 "," 172,739 "," 7,253,848 ", 4.60 , 1.82 , 5.74 , 2.38 ," 167,952 "," 209,315 "," 71,839 "," 93,288 "," 1,536,233 ", 10.93 , 4.67 , 13.62 , 6.07 
