State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Colorado,2004," 191,745 "," 248,761 "," 46,061 "," 66,354 "," 3,423,000 ", 5.60 , 1.34 , 7.26 , 1.93 ," 22,695 "," 33,556 "," 9,787 "," 14,880 "," 137,783 ", 16.47 , 7.10 , 24.35 , 10.79 
Connecticut,2004," 198,151 "," 247,508 "," 47,592 "," 67,089 "," 2,665,000 ", 7.43 , 1.78 , 9.28 , 2.51 ," 63,758 "," 85,673 "," 21,555 "," 33,860 "," 212,894 ", 29.94 , 10.12 , 40.24 , 15.90 
Delaware,2004," 42,858 "," 55,746 "," 12,363 "," 19,290 "," 637,000 ", 6.72 , 1.94 , 8.75 , 3.02 ," 18,131 "," 25,397 "," 6,529 "," 10,969 "," 106,283 ", 17.05 , 6.14 , 23.89 , 10.32 
Florida,2004," 1,632,146 "," 1,921,562 "," 251,595 "," 337,128 "," 13,394,000 ", 12.18 , 1.87 , 14.34 , 2.51 ," 526,170 "," 634,817 "," 119,820 "," 159,247 "," 1,559,354 ", 33.74 , 7.68 , 40.71 , 10.21 
Georgia,2004," 585,394 "," 807,809 "," 149,091 "," 200,195 "," 6,497,000 ", 9.01 , 2.29 , 12.43 , 3.08 ," 302,201 "," 431,076 "," 85,248 "," 119,426 "," 1,681,040 ", 17.97 , 5.07 , 25.64 , 7.10 
Hawaii,2004," 55,668 "," 78,391 "," 11,230 "," 17,190 "," 964,000 ", 5.77 , 1.16 , 8.13 , 1.78 ," 2,101 "," 3,083 ", 522 , 859 ," 21,442 ", 9.80 , 2.43 , 14.38 , 4.01 
Idaho,2004," 52,116 "," 74,811 "," 18,128 "," 24,503 "," 1,021,000 ", 5.10 , 1.77 , 7.32 , 2.39 , 952 ," 1,344 ", 406 , 528 ," 5,110 ", 18.63 , 7.95 , 26.30 , 10.33 
Illinois,2004," 536,141 "," 690,633 "," 203,227 "," 247,281 "," 9,475,000 ", 5.65 , 2.14 , 7.28 , 2.60 ," 213,931 "," 300,783 "," 138,419 "," 170,311 "," 1,230,967 ", 17.37 , 11.24 , 24.43 , 13.83 
Indiana,2004," 347,626 "," 427,003 "," 81,239 "," 105,247 "," 4,637,000 ", 7.49 , 1.75 , 9.20 , 2.26 ," 102,155 "," 130,147 "," 32,160 "," 42,495 "," 354,616 ", 28.80 , 9.06 , 36.70 , 11.98 
Iowa,2004," 101,898 "," 123,343 "," 37,010 "," 45,535 "," 2,274,000 ", 4.48 , 1.62 , 5.42 , 2.00 ," 9,842 "," 13,586 "," 4,558 "," 6,732 "," 43,275 ", 22.74 , 10.53 , 31.39 , 15.55 
Kansas,2004," 104,014 "," 122,107 "," 37,293 "," 46,259 "," 2,052,000 ", 5.06 , 1.81 , 5.95 , 2.25 ," 25,643 "," 31,894 "," 11,186 "," 14,644 "," 118,799 ", 21.58 , 9.41 , 26.84 , 12.32 
Kentucky,2004," 148,724 "," 197,246 "," 64,618 "," 82,432 "," 3,166,000 ", 4.69 , 2.04 , 6.23 , 2.60 ," 30,158 "," 44,458 "," 16,994 "," 23,821 "," 207,961 ", 14.50 , 8.17 , 21.37 , 11.45 
Louisiana,2004," 209,432 "," 309,821 "," 99,616 "," 136,555 "," 3,351,000 ", 6.24 , 2.97 , 9.24 , 4.07 ," 118,645 "," 187,886 "," 73,137 "," 101,405 "," 1,000,499 ", 11.85 , 7.31 , 18.77 , 10.13 
Maine,2004," 41,306 "," 47,422 "," 8,713 "," 10,737 "," 1,035,000 ", 3.99 , 0.84 , 4.58 , 1.03 , 445 , 570 , 81 , 157 ," 3,466 ", 12.86 , 2.34 , 16.46 , 4.54 
Maryland,2004," 257,618 "," 319,668 "," 84,036 "," 107,321 "," 4,163,000 ", 6.18 , 2.01 , 7.67 , 2.57 ," 136,678 "," 179,806 "," 55,231 "," 73,264 "," 1,111,217 ", 12.29 , 4.97 , 16.18 , 6.59 
Massachusetts,2004," 304,542 "," 407,890 "," 33,085 "," 43,229 "," 4,952,000 ", 6.14 , 0.66 , 8.23 , 0.87 ," 51,280 "," 78,062 "," 8,414 "," 12,220 "," 236,703 ", 21.66 , 3.55 , 32.97 , 5.16 
Michigan,2004," 351,046 "," 478,897 "," 106,104 "," 154,987 "," 7,579,000 ", 4.63 , 1.39 , 6.31 , 2.04 ," 73,406 "," 126,695 "," 49,875 "," 77,770 "," 985,837 ", 7.44 , 5.05 , 12.85 , 7.88 
Minnesota,2004," 257,265 "," 310,341 "," 34,043 "," 42,801 "," 3,861,000 ", 6.66 , 0.88 , 8.03 , 1.10 ," 25,851 "," 34,716 "," 8,599 "," 10,908 "," 111,714 ", 23.14 , 7.69 , 31.07 , 9.76 
Mississippi,2004," 116,407 "," 161,803 "," 43,581 "," 64,564 "," 2,153,000 ", 5.40 , 2.02 , 7.51 , 2.99 ," 56,119 "," 86,840 "," 25,901 "," 41,601 "," 696,831 ", 8.05 , 3.71 , 12.46 , 5.97 
Missouri,2004," 279,044 "," 377,675 "," 91,432 "," 122,513 "," 4,370,000 ", 6.38 , 2.09 , 8.64 , 2.80 ," 65,797 "," 102,079 "," 29,648 "," 43,854 "," 435,218 ", 15.11 , 6.81 , 23.45 , 10.07 
Montana,2004," 35,797 "," 47,305 "," 9,890 "," 13,767 "," 719,000 ", 4.97 , 1.37 , 6.57 , 1.91 , 329 , 465 , 136 , 191 ," 2,783 ", 11.84 , 4.88 , 16.71 , 6.86 
Nebraska,2004," 53,565 "," 62,918 "," 15,669 "," 19,799 "," 1,313,000 ", 4.07 , 1.19 , 4.79 , 1.50 ," 7,801 "," 9,931 "," 3,385 "," 4,610 "," 50,230 ", 15.53 , 6.73 , 19.77 , 9.17 
Nevada,2004," 60,055 "," 84,486 "," 33,428 "," 44,793 "," 1,731,000 ", 3.46 , 1.93 , 4.88 , 2.58 ," 16,003 "," 22,864 "," 8,935 "," 12,475 "," 101,951 ", 15.69 , 8.76 , 22.42 , 12.23 
New Hamp,2004," 30,510 "," 37,209 "," 7,619 "," 10,067 "," 995,000 ", 3.06 , 0.76 , 3.73 , 1.01 ," 1,980 "," 2,824 ", 566 , 702 ," 5,497 ", 36.03 , 10.29 , 51.38 , 12.77 
New Jersey,2004," 480,347 "," 614,616 "," 122,946 "," 149,703 "," 6,543,000 ", 7.34 , 1.87 , 9.39 , 2.28 ," 194,100 "," 267,935 "," 68,400 "," 87,536 "," 808,463 ", 24.00 , 8.46 , 33.14 , 10.82 
New Mexico,2004," 85,952 "," 110,174 "," 25,599 "," 31,978 "," 1,411,000 ", 6.09 , 1.81 , 7.80 , 2.26 ," 7,278 "," 9,418 "," 3,072 "," 3,814 "," 25,680 ", 28.34 , 11.96 , 36.67 , 14.85 
New York,2004," 501,233 "," 686,664 "," 226,720 "," 290,471 "," 14,655,000 ", 3.42 , 1.54 , 4.68 , 1.98 ," 200,429 "," 304,615 "," 139,399 "," 174,681 "," 1,868,249 ", 10.72 , 7.46 , 16.30 , 9.34 
North Carolina,2004," 311,466 "," 388,215 "," 124,871 "," 160,305 "," 6,423,000 ", 4.84 , 1.94 , 6.04 , 2.49 ," 134,548 "," 179,141 "," 66,277 "," 89,488 "," 1,277,505 ", 10.53 , 5.18 , 14.02 , 7.00 
North Dakota,2004," 20,020 "," 24,361 "," 5,186 "," 6,513 "," 495,000 ", 4.04 , 1.04 , 4.92 , 1.31 , 452 , 569 , 173 , 207 ," 3,732 ", 12.13 , 4.65 , 15.26 , 5.55 
Ohio,2004," 529,247 "," 650,210 "," 196,324 "," 241,130 "," 8,680,000 ", 6.09 , 2.26 , 7.49 , 2.77 ," 204,090 "," 261,010 "," 94,602 "," 118,875 "," 928,659 ", 21.97 , 10.18 , 28.10 , 12.80 
Oklahoma,2004," 207,773 "," 263,271 "," 61,727 "," 85,046 "," 2,664,000 ", 7.79 , 2.31 , 9.88 , 3.19 ," 42,238 "," 58,612 "," 17,654 "," 26,039 "," 202,628 ", 20.84 , 8.71 , 28.92 , 12.85 
Oregon,2004," 138,794 "," 201,146 "," 43,447 "," 56,630 "," 2,742,000 ", 5.06 , 1.58 , 7.33 , 2.06 ," 7,022 "," 13,389 "," 4,747 "," 6,614 "," 45,588 ", 15.40 , 10.41 , 29.37 , 14.50 
Pennsylvania,2004," 290,911 "," 467,243 "," 91,137 "," 132,100 "," 9,569,000 ", 3.04 , 0.95 , 4.88 , 1.38 ," 52,918 "," 125,316 "," 32,107 "," 57,793 "," 829,353 ", 6.38 , 3.87 , 15.11 , 6.96 
Rhode Island,2004," 65,984 "," 87,627 "," 11,751 "," 15,181 "," 837,000 ", 7.88 , 1.40 , 10.46 , 1.81 ," 10,961 "," 16,313 "," 3,111 "," 4,307 "," 27,489 ", 39.87 , 11.32 , 59.34 , 15.66 
South Carolina,2004," 164,382 "," 218,697 "," 71,507 "," 94,935 "," 3,173,000 ", 5.18 , 2.25 , 6.89 , 2.99 ," 73,807 "," 107,875 "," 40,562 "," 56,980 "," 830,653 ", 8.88 , 4.88 , 12.98 , 6.85 
South Dakota,2004," 31,849 "," 41,594 "," 11,306 "," 14,401 "," 580,000 ", 5.49 , 1.94 , 7.17 , 2.48 , 401 , 683 , 336 , 473 ," 3,830 ", 10.48 , 8.79 , 17.84 , 12.36 
Tennessee,2004," 218,255 "," 293,289 "," 82,872 "," 108,756 "," 4,510,000 ", 4.83 , 1.83 , 6.50 , 2.41 ," 89,884 "," 125,468 "," 38,676 "," 51,844 "," 672,913 ", 13.35 , 5.74 , 18.64 , 7.70 
Texas,2004," 1,073,556 "," 1,587,221 "," 361,166 "," 529,271 "," 16,223,000 ", 6.61 , 2.22 , 9.78 , 3.26 ," 319,688 "," 483,149 "," 132,711 "," 209,227 "," 1,785,595 ", 17.90 , 7.43 , 27.05 , 11.71 
Utah,2004," 46,660 "," 64,607 "," 20,479 "," 26,468 "," 1,649,000 ", 2.82 , 1.24 , 3.91 , 1.60 ," 2,130 "," 3,141 "," 1,269 "," 1,729 "," 13,385 ", 15.91 , 9.48 , 23.46 , 12.92 
Vermont,2004," 22,265 "," 28,221 "," 9,313 "," 11,281 "," 487,000 ", 4.57 , 1.91 , 5.79 , 2.31 , 374 , 487 , 207 , 264 ," 2,126 ", 17.60 , 9.77 , 22.94 , 12.45 
Virginia,2004," 286,302 "," 372,253 "," 87,750 "," 123,314 "," 5,655,000 ", 5.06 , 1.55 , 6.58 , 2.18 ," 150,452 "," 200,916 "," 45,406 "," 69,259 "," 1,054,523 ", 14.26 , 4.30 , 19.05 , 6.56 
Washington,2004," 240,144 "," 318,533 "," 59,507 "," 76,121 "," 4,718,000 ", 5.08 , 1.26 , 6.75 , 1.61 ," 43,230 "," 55,407 "," 11,543 "," 15,304 "," 135,689 ", 31.86 , 8.50 , 40.83 , 11.27 
West Virginia,2004," 25,902 "," 37,402 "," 10,907 "," 15,974 "," 1,431,000 ", 1.81 , 0.76 , 2.61 , 1.11 ," 2,645 "," 4,167 "," 1,620 "," 2,428 "," 42,499 ", 6.22 , 3.81 , 9.80 , 5.71 
Wisconsin,2004," 133,963 "," 196,927 "," 51,109 "," 74,075 "," 4,201,000 ", 3.18 , 1.21 , 4.68 , 1.76 ," 36,296 "," 60,918 "," 19,879 "," 30,954 "," 218,943 ", 16.57 , 9.07 , 27.82 , 14.13 
Wyoming,2004," 15,242 "," 20,662 "," 5,274 "," 7,254 "," 390,000 ", 3.90 , 1.35 , 5.29 , 1.86 , 461 , 690 , 213 , 332 ," 3,420 ", 13.48 , 6.24 , 20.18 , 9.71 
Alabama,2003," 170,655 "," 238,722 "," 67,629 "," 96,882 "," 3,392,779 ", 5.02 , 1.99 , 7.03 , 2.85 ," 85,640 "," 122,084 "," 34,032 "," 53,251 "," 805,474 ", 10.63 , 4.22 , 15.15 , 6.61 
Alaska,2003," 25,092 "," 35,469 "," 13,382 "," 17,909 "," 459,529 ", 5.46 , 2.91 , 7.71 , 3.89 ," 2,508 "," 3,913 "," 1,596 "," 2,272 "," 18,936 ", 13.24 , 8.43 , 20.66 , 11.99 
Arizona,2003," 227,754 "," 321,504 "," 63,313 "," 94,483 "," 4,061,499 ", 5.60 , 1.55 , 7.91 , 2.32 ," 26,301 "," 36,819 "," 10,819 "," 15,542 "," 111,867 ", 23.51 , 9.67 , 32.91 , 13.89 
Arkansas,2003," 77,805 "," 132,937 "," 46,096 "," 59,180 "," 2,043,701 ", 3.80 , 2.25 , 6.50 , 2.89 ," 26,975 "," 51,224 "," 18,639 "," 25,882 "," 281,472 ", 9.58 , 6.62 , 18.19 , 9.19 
California,2003," 1,658,505 "," 2,206,690 "," 826,837 "," 991,324 "," 26,064,483 ", 6.36 , 3.17 , 8.46 , 3.80 ," 457,127 "," 656,032 "," 238,820 "," 320,044 "," 1,495,790 ", 30.56 , 15.96 , 43.85 , 21.39 
Colorado,2003," 159,861 "," 213,226 "," 43,048 "," 62,719 "," 3,397,937 ", 4.70 , 1.26 , 6.27 , 1.84 ," 22,412 "," 32,605 "," 9,392 "," 14,329 "," 134,650 ", 16.64 , 6.97 , 24.21 , 10.64 
Connecticut,2003," 183,945 "," 233,530 "," 45,729 "," 65,575 "," 2,647,997 ", 6.94 , 1.72 , 8.81 , 2.47 ," 60,480 "," 82,596 "," 20,869 "," 33,394 "," 209,529 ", 28.86 , 9.96 , 39.41 , 15.93 
Delaware,2003," 30,133 "," 43,141 "," 11,835 "," 18,629 "," 618,649 ", 4.87 , 1.91 , 6.97 , 3.01 ," 17,200 "," 24,499 "," 6,324 "," 10,679 "," 104,382 ", 16.47 , 6.05 , 23.47 , 10.23 
Florida,2003," 1,416,783 "," 1,636,781 "," 241,773 "," 321,367 "," 13,094,945 ", 10.81 , 1.84 , 12.49 , 2.45 ," 496,509 "," 584,291 "," 115,363 "," 154,790 "," 1,526,691 ", 32.52 , 7.55 , 38.27 , 10.13 
Georgia,2003," 475,254 "," 683,526 "," 142,016 "," 189,224 "," 6,387,956 ", 7.43 , 2.22 , 10.70 , 2.96 ," 283,392 "," 404,027 "," 80,874 "," 112,447 "," 1,646,482 ", 17.21 , 4.91 , 24.53 , 6.82 
Hawaii,2003," 42,314 "," 62,417 "," 10,896 "," 16,724 "," 960,466 ", 4.40 , 1.13 , 6.49 , 1.74 ," 2,111 "," 2,993 ", 512 , 842 ," 21,264 ", 9.92 , 2.40 , 14.07 , 3.95 
Idaho,2003," 51,284 "," 67,899 "," 16,628 "," 22,515 "," 994,305 ", 5.15 , 1.67 , 6.82 , 2.26 , 978 ," 1,271 ", 394 , 506 ," 4,918 ", 19.90 , 8.01 , 25.86 , 10.30 
Illinois,2003," 440,033 "," 594,503 "," 189,910 "," 233,328 "," 9,422,938 ", 4.66 , 2.01 , 6.30 , 2.47 ," 203,201 "," 290,074 "," 131,364 "," 162,795 "," 1,226,286 ", 16.57 , 10.71 , 23.65 , 13.27 
Indiana,2003," 329,130 "," 403,852 "," 75,328 "," 98,397 "," 4,591,742 ", 7.16 , 1.64 , 8.79 , 2.14 ," 95,950 "," 122,365 "," 32,168 "," 42,098 "," 351,016 ", 27.33 , 9.16 , 34.86 , 11.99 
Iowa,2003," 88,841 "," 110,995 "," 35,594 "," 44,140 "," 2,250,634 ", 3.94 , 1.58 , 4.93 , 1.96 ," 9,274 "," 13,090 "," 4,311 "," 6,490 "," 42,358 ", 21.89 , 10.17 , 30.90 , 15.32 
Kansas,2003," 87,547 "," 105,865 "," 36,079 "," 45,211 "," 2,028,426 ", 4.31 , 1.77 , 5.21 , 2.22 ," 24,753 "," 31,044 "," 10,909 "," 14,431 "," 116,836 ", 21.18 , 9.33 , 26.57 , 12.35 
Kentucky,2003," 114,450 "," 165,165 "," 60,285 "," 76,907 "," 3,123,645 ", 3.66 , 1.92 , 5.28 , 2.46 ," 27,109 "," 41,677 "," 15,728 "," 22,098 "," 206,100 ", 13.15 , 7.63 , 20.22 , 10.72 
Louisiana,2003," 185,372 "," 284,321 "," 94,807 "," 130,854 "," 3,318,779 ", 5.58 , 2.85 , 8.56 , 3.94 ," 114,485 "," 182,812 "," 71,349 "," 98,935 "," 988,417 ", 11.58 , 7.21 , 18.49 , 10.00 
Maine,2003," 35,316 "," 42,817 "," 8,707 "," 10,720 "," 1,018,982 ", 3.46 , 0.85 , 4.20 , 1.05 , 413 , 551 , 83 , 159 ," 3,423 ", 12.08 , 2.43 , 16.10 , 4.64 
Maryland,2003," 232,026 "," 292,301 "," 81,436 "," 105,227 "," 4,130,817 ", 5.61 , 1.97 , 7.07 , 2.54 ," 134,840 "," 176,927 "," 53,394 "," 71,819 "," 1,093,619 ", 12.32 , 4.88 , 16.17 , 6.56 
Massachusetts,2003," 220,392 "," 304,061 "," 32,928 "," 43,160 "," 4,946,304 ", 4.45 , 0.66 , 6.14 , 0.87 ," 51,483 "," 73,458 "," 8,436 "," 12,274 "," 232,428 ", 22.15 , 3.62 , 31.60 , 5.28 
Michigan,2003," 289,151 "," 415,048 "," 102,474 "," 151,832 "," 7,541,065 ", 3.83 , 1.35 , 5.50 , 2.01 ," 70,553 "," 123,317 "," 48,186 "," 76,352 "," 979,153 ", 7.20 , 4.92 , 12.59 , 7.79 
Minnesota,2003," 217,946 "," 258,311 "," 31,789 "," 39,654 "," 3,810,605 ", 5.71 , 0.83 , 6.77 , 1.04 ," 24,344 "," 33,209 "," 8,131 "," 10,440 "," 107,893 ", 22.56 , 7.53 , 30.78 , 9.67 
Mississippi,2003," 91,297 "," 136,480 "," 40,254 "," 63,436 "," 2,120,013 ", 4.30 , 1.89 , 6.43 , 2.99 ," 53,901 "," 84,793 "," 24,200 "," 41,545 "," 690,657 ", 7.80 , 3.50 , 12.27 , 6.01 
Missouri,2003," 220,764 "," 311,694 "," 84,560 "," 114,863 "," 4,297,142 ", 5.13 , 1.96 , 7.25 , 2.67 ," 63,557 "," 97,186 "," 27,840 "," 41,691 "," 430,398 ", 14.76 , 6.46 , 22.58 , 9.68 
Montana,2003," 27,062 "," 37,954 "," 9,082 "," 12,702 "," 701,847 ", 3.85 , 1.29 , 5.40 , 1.80 , 297 , 425 , 122 , 173 ," 2,740 ", 10.84 , 4.45 , 15.51 , 6.32 
Nebraska,2003," 47,416 "," 57,209 "," 15,099 "," 19,139 "," 1,298,451 ", 3.65 , 1.16 , 4.40 , 1.47 ," 7,557 "," 9,730 "," 3,280 "," 4,479 "," 49,178 ", 15.36 , 6.67 , 19.78 , 9.10 
Nevada,2003," 58,083 "," 80,470 "," 32,205 "," 42,748 "," 1,659,757 ", 3.49 , 1.94 , 4.84 , 2.57 ," 15,303 "," 21,692 "," 8,545 "," 11,829 "," 99,063 ", 15.44 , 8.62 , 21.89 , 11.94 
New Hamp,2003," 27,063 "," 33,629 "," 7,274 "," 9,708 "," 981,456 ", 2.75 , 0.74 , 3.42 , 0.98 ," 2,032 "," 2,853 ", 558 , 693 ," 5,390 ", 37.70 , 10.35 , 52.93 , 12.86 
New Jersey,2003," 385,323 "," 519,650 "," 118,738 "," 145,984 "," 6,506,779 ", 5.92 , 1.82 , 7.98 , 2.24 ," 192,442 "," 266,310 "," 66,396 "," 85,882 "," 799,684 ", 24.06 , 8.30 , 33.30 , 10.73 
New Mexico,2003," 74,457 "," 96,203 "," 24,569 "," 30,792 "," 1,372,580 ", 5.42 , 1.79 , 7.00 , 2.24 ," 7,322 "," 9,267 "," 3,059 "," 3,783 "," 25,350 ", 28.88 , 12.07 , 36.55 , 14.92 
New York,2003," 432,651 "," 622,167 "," 221,392 "," 286,590 "," 14,657,367 ", 2.95 , 1.51 , 4.24 , 1.95 ," 199,654 "," 306,186 "," 139,260 "," 175,342 "," 1,860,916 ", 10.72 , 7.48 , 16.45 , 9.42 
North Carolina,2003," 258,071 "," 330,488 "," 123,440 "," 157,000 "," 6,319,805 ", 4.08 , 1.95 , 5.22 , 2.48 ," 131,382 "," 173,163 "," 65,817 "," 87,800 "," 1,257,998 ", 10.44 , 5.23 , 13.76 , 6.97 
North Dakota,2003," 16,423 "," 20,597 "," 4,834 "," 6,073 "," 487,010 ", 3.37 , 0.99 , 4.22 , 1.24 , 418 , 530 , 164 , 195 ," 3,666 ", 11.42 , 4.48 , 14.48 , 5.33 
Ohio,2003," 463,631 "," 576,288 "," 187,188 "," 231,966 "," 8,620,509 ", 5.37 , 2.17 , 6.68 , 2.69 ," 201,626 "," 255,343 "," 91,135 "," 115,393 "," 919,374 ", 21.93 , 9.91 , 27.77 , 12.55 
Oklahoma,2003," 178,765 "," 229,681 "," 59,088 "," 81,909 "," 2,633,289 ", 6.78 , 2.24 , 8.72 , 3.11 ," 41,525 "," 56,740 "," 16,954 "," 25,161 "," 198,285 ", 20.94 , 8.55 , 28.61 , 12.68 
Oregon,2003," 109,572 "," 169,405 "," 42,031 "," 54,746 "," 2,710,424 ", 4.04 , 1.55 , 6.25 , 2.01 ," 7,022 "," 13,120 "," 4,715 "," 6,515 "," 44,565 ", 15.75 , 10.58 , 29.44 , 14.62 
Pennsylvania,2003," 211,874 "," 404,837 "," 85,324 "," 126,214 "," 9,534,761 ", 2.22 , 0.89 , 4.24 , 1.32 ," 57,397 "," 136,128 "," 30,277 "," 55,917 "," 823,438 ", 6.97 , 3.67 , 16.53 , 6.79 
Rhode Island,2003," 49,617 "," 70,141 "," 12,240 "," 15,767 "," 832,115 ", 5.96 , 1.47 , 8.42 , 1.89 ," 11,429 "," 16,541 "," 3,338 "," 4,567 "," 27,029 ", 42.28 , 12.35 , 61.19 , 16.90 
South Carolina,2003," 135,663 "," 185,422 "," 68,068 "," 91,787 "," 3,123,648 ", 4.34 , 2.17 , 5.93 , 2.93 ," 71,606 "," 103,188 "," 38,481 "," 55,103 "," 821,742 ", 8.71 , 4.68 , 12.55 , 6.70 
South Dakota,2003," 30,533 "," 39,553 "," 10,212 "," 13,238 "," 568,883 ", 5.36 , 1.79 , 6.95 , 2.32 , 368 , 630 , 294 , 427 ," 3,742 ", 9.83 , 7.85 , 16.85 , 11.42 
Tennessee,2003," 205,674 "," 273,536 "," 78,349 "," 103,752 "," 4,447,269 ", 4.62 , 1.76 , 6.15 , 2.33 ," 88,201 "," 120,630 "," 36,851 "," 49,775 "," 662,706 ", 13.30 , 5.56 , 18.20 , 7.51 
Texas,2003," 1,015,988 "," 1,536,450 "," 338,035 "," 504,946 "," 15,878,347 ", 6.39 , 2.12 , 9.67 , 3.18 ," 304,989 "," 469,405 "," 124,039 "," 200,011 "," 1,752,487 ", 17.40 , 7.07 , 26.78 , 11.41 
Utah,2003," 44,142 "," 61,545 "," 19,491 "," 25,254 "," 1,608,540 ", 2.74 , 1.21 , 3.82 , 1.57 ," 2,050 "," 3,032 "," 1,237 "," 1,679 "," 12,975 ", 15.80 , 9.53 , 23.37 , 12.94 
Vermont,2003," 20,982 "," 26,603 "," 8,080 "," 10,024 "," 481,661 ", 4.35 , 1.67 , 5.52 , 2.08 , 320 , 428 , 167 , 223 ," 2,068 ", 15.48 , 8.07 , 20.73 , 10.80 
Virginia,2003," 273,180 "," 351,814 "," 84,576 "," 119,643 "," 5,587,563 ", 4.88 , 1.51 , 6.29 , 2.14 ," 143,916 "," 190,613 "," 44,325 "," 67,845 "," 1,037,813 ", 13.86 , 4.27 , 18.36 , 6.53 
Washington,2003," 235,353 "," 335,574 "," 54,272 "," 70,420 "," 4,634,864 ", 5.07 , 1.17 , 7.24 , 1.51 ," 37,515 "," 52,439 "," 10,383 "," 14,038 "," 133,371 ", 28.12 , 7.78 , 39.31 , 10.52 
West Virginia,2003," 24,570 "," 34,737 "," 10,263 "," 15,021 "," 1,419,453 ", 1.73 , 0.72 , 2.44 , 1.05 ," 2,589 "," 3,964 "," 1,527 "," 2,286 "," 42,340 ", 6.11 , 3.60 , 9.36 , 5.39 
Wisconsin,2003," 129,649 "," 190,140 "," 48,291 "," 70,905 "," 4,139,405 ", 3.13 , 1.16 , 4.59 , 1.71 ," 35,044 "," 58,530 "," 18,625 "," 29,530 "," 213,745 ", 16.39 , 8.71 , 27.38 , 13.81 
Wyoming,2003," 14,844 "," 20,559 "," 5,118 "," 6,990 "," 380,169 ", 3.90 , 1.34 , 5.40 , 1.83 , 412 , 647 , 205 , 317 ," 3,318 ", 12.42 , 6.19 , 19.52 , 9.58 
Alabama,2002," 164,890 "," 230,007 "," 63,847 "," 91,794 "," 3,367,982 ", 4.89 , 1.89 , 6.82 , 2.72 ," 81,865 "," 116,643 "," 31,731 "," 50,092 "," 797,661 ", 10.26 , 3.97 , 14.62 , 6.27 
Alaska,2002," 24,190 "," 33,856 "," 12,476 "," 16,874 "," 451,658 ", 5.35 , 2.76 , 7.49 , 3.73 ," 2,520 "," 3,841 "," 1,543 "," 2,199 "," 18,641 ", 13.51 , 8.28 , 20.60 , 11.80 
Arizona,2002," 205,798 "," 300,788 "," 59,390 "," 88,749 "," 3,961,827 ", 5.19 , 1.49 , 7.59 , 2.24 ," 23,810 "," 34,492 "," 10,451 "," 14,899 "," 108,843 ", 21.87 , 9.60 , 31.69 , 13.68 
Arkansas,2002," 74,695 "," 127,063 "," 44,094 "," 57,184 "," 2,024,293 ", 3.68 , 2.17 , 6.27 , 2.82 ," 26,911 "," 49,887 "," 18,289 "," 25,535 "," 278,560 ", 9.66 , 6.56 , 17.90 , 9.16 
California,2002," 1,597,370 "," 2,134,409 "," 797,323 "," 959,640 "," 25,626,865 ", 6.23 , 3.11 , 8.32 , 3.74 ," 437,458 "," 632,246 "," 233,163 "," 313,315 "," 1,490,162 ", 29.35 , 15.64 , 42.42 , 21.02 
Colorado,2002," 153,138 "," 205,382 "," 40,691 "," 59,524 "," 3,354,179 ", 4.56 , 1.21 , 6.12 , 1.77 ," 21,896 "," 31,777 "," 9,117 "," 13,843 "," 131,384 ", 16.66 , 6.93 , 24.18 , 10.53 
Connecticut,2002," 181,762 "," 229,993 "," 43,553 "," 64,273 "," 2,620,623 ", 6.93 , 1.66 , 8.77 , 2.45 ," 60,410 "," 82,308 "," 20,015 "," 33,091 "," 206,284 ", 29.28 , 9.70 , 39.90 , 16.04 
Delaware,2002," 27,858 "," 41,095 "," 11,385 "," 18,163 "," 610,877 ", 4.56 , 1.86 , 6.72 , 2.97 ," 16,108 "," 23,513 "," 6,108 "," 10,453 "," 102,429 ", 15.72 , 5.96 , 22.95 , 10.20 
Florida,2002," 1,328,377 "," 1,545,665 "," 233,667 "," 308,877 "," 12,834,962 ", 10.34 , 1.82 , 12.04 , 2.40 ," 467,775 "," 556,233 "," 111,515 "," 150,942 "," 1,493,743 ", 31.31 , 7.46 , 37.23 , 10.10 
Georgia,2002," 426,797 "," 626,946 "," 135,286 "," 182,731 "," 6,277,747 ", 6.79 , 2.15 , 9.98 , 2.91 ," 264,923 "," 381,086 "," 76,826 "," 108,558 "," 1,611,720 ", 16.43 , 4.76 , 23.64 , 6.73 
Hawaii,2002," 41,030 "," 60,057 "," 10,659 "," 16,082 "," 945,707 ", 4.33 , 1.12 , 6.35 , 1.70 ," 1,975 "," 2,813 ", 508 , 815 ," 21,073 ", 9.37 , 2.41 , 13.34 , 3.86 
Idaho,2002," 46,144 "," 62,481 "," 15,351 "," 21,555 "," 970,931 ", 4.75 , 1.58 , 6.43 , 2.22 , 912 ," 1,200 ", 384 , 502 ," 4,717 ", 19.33 , 8.15 , 25.44 , 10.65 
Illinois,2002," 418,033 "," 570,668 "," 178,503 "," 221,196 "," 9,351,258 ", 4.47 , 1.90 , 6.10 , 2.36 ," 193,564 "," 279,635 "," 124,994 "," 155,900 "," 1,221,832 ", 15.84 , 10.23 , 22.88 , 12.75 
