"","YEAR","STATENAME","population.16.w","p1.pop.w","p1.y1.raw.w","p1.y1.notemployed.rate.w","p1.y2.raw.w","p1.y2.unemployed.rate.w","p1.y3.raw.w","p1.y3.idle.rate.w","p1.y4.raw.w","p1.y4.cfw.rate.w","p1.marry.raw.w","p1.marriage.rate.w","p2.pop.w","p2.y1.raw.w","p2.y1.notemployed.rate.w","p2.y2.raw.w","p2.y2.unemployed.rate.w","p2.y3.raw.w","p2.y3.idle.rate.w","p2.y4.raw.w","p2.y4.cfw.rate.w","p2.marry.raw.w","p2.marriage.rate.w","p3.pop.w","p3.y1.raw.w","p3.y1.notemployed.rate.w","p3.y2.raw.w","p3.y2.unemployed.rate.w","p3.y3.raw.w","p3.y3.idle.rate.w","p3.y4.raw.w","p3.y4.cfw.rate.w","p3.marry.raw.w","p3.marriage.rate.w","p4.pop.w","p4.y1.raw.w","p4.y1.notemployed.rate.w","p4.y2.raw.w","p4.y2.unemployed.rate.w","p4.y3.raw.w","p4.y3.idle.rate.w","p4.y4.raw.w","p4.y4.cfw.rate.w","p4.marry.raw.w","p4.marriage.rate.w","p6.pop.w","p6.y1.raw.w","p6.y1.notemployed.rate.w","p6.y2.raw.w","p6.y2.unemployed.rate.w","p6.y3.raw.w","p6.y3.idle.rate.w","p6.y4.raw.w","p6.y4.cfw.rate.w","p6.marry.raw.w","p6.marriage.rate.w","p6.degree.raw.w","p6.degree.rate.w","p1.disab.raw.w","p1.disab.rate.w","p2.disab.raw.w","p2.disab.rate.w","p3.disab.raw.w","p3.disab.rate.w","p4.disab.raw.w","p4.disab.rate.w","p6.disab.raw.w","p6.disab.rate.w"
"1",1980,"Alabama",2066709.16166667,473093.3175,55451.6816666667,11.7210874927792,23725.9316666667,5.37554940909125,29999.5208333333,6.34114237585555,NA,NA,407795.4,86.1976664889163,767181.146666667,152892.143333333,19.9290798526053,40515.4116666667,6.18740661158595,88674.3275,11.5584602000821,NA,NA,581947.586666667,75.8553034306404,511568.5225,59451.6241666667,11.6214390745018,24136.5716666667,5.06800961821164,31828.9733333333,6.22183968196232,NA,NA,440094.666666667,86.0284883276153,1040982.97666667,281487.650833333,27.0405623475886,43606.0658333333,5.42970866266813,231497.6275,22.2383682239722,NA,NA,890607.183333333,85.5544426081921,1352255.51166667,398783.699166667,29.4902624338475,72895.6341666667,7.10229405691011,281652.246666667,20.8283304624529,NA,NA,1024654.33,75.7737218417475,66705.5433333333,4.93290970218477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1980,"Alaska",217279.438333333,61889.1725,8902.78333333333,14.3850417992474,5187.4025,8.91707820890135,3427.7625,5.53854957424095,NA,NA,43762.9816666667,70.7118545924437,87280.6175,16030.9266666667,18.3671095895565,7842.56666666667,9.91571983726304,6492.79333333333,7.43898647753418,NA,NA,54657.39,62.6225977376936,73500.5425,9429.405,12.8290277585366,5455.6625,7.84684826570474,3587.15333333333,4.88044470329363,NA,NA,52446.4841666667,71.35523410139,143437.8275,36367.7241666667,25.3543467581219,8426.13583333333,7.2955932540574,26965.9016666667,18.7997142292654,NA,NA,108280.434166667,75.4894549463716,184178.544166667,50361.0116666667,27.3435822258938,12932.7333333333,8.8127495101244,33247.6016666667,18.05183215944,NA,NA,123883.664166667,67.2628099690928,18595.2841666667,10.0963357327005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1980,"Arizona",1763427.36666667,363643.053333333,34662.8291666667,9.53210266191803,16293.8308333333,4.7191008410213,15607.0775,4.29186735644687,NA,NA,288217.634166667,79.2583913056279,600761.841666667,107076.358333333,17.8234286712146,33723.925,6.39425927318418,57772.8266666667,9.6165939078937,NA,NA,411107.736666667,68.4310667145818,429705.116666667,38049.3208333333,8.85475163258276,16906.0616666667,4.1379441953087,16827.2783333333,3.91600604243833,NA,NA,341274.4675,79.4206199235778,873495.77,219590.150833333,25.1392345990792,28716.9883333333,4.20686159787542,182161.865,20.854349987293,NA,NA,690550.834166667,79.0560020876422,1174110.04333333,307040.129166667,26.1508817601944,53879.575,5.85043757923723,219691.888333333,18.7113541512362,NA,NA,786003.089166667,66.9445844220172,100676.638333333,8.57471911640491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1980,"Arkansas",1404321.86333333,303115.756666667,37264.9333333333,12.2939611398404,13059.9258333333,4.68247490365788,21796.7233333333,7.1908908903416,NA,NA,261110.444166667,86.1421547457881,505871.2075,102401.9425,20.2426904282747,25697.2741666667,5.98771614780693,63656.4641666667,12.5835317809952,NA,NA,381173.7875,75.3499669182101,327607.45,38619.3183333333,11.7882906305499,13446.3758333333,4.44604550733462,22567.2441666667,6.88850151810243,NA,NA,280446.445,85.6044161999368,672491.560833333,172692.735833333,25.6795394754601,23744.7308333333,4.53538785240866,143750.805833333,21.3758527549701,NA,NA,568632.113333333,84.5560221794753,893374.185,242060.564166667,27.0950927652635,44047.5216666667,6.33448131834123,171690.295,19.2181840356177,NA,NA,666521.784166667,74.6072357314272,41771.9216666667,4.6757475611036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1980,"California",15053805.2841667,3280682.53083333,336333.640833333,10.2519411028747,148440.548333333,4.79956852197886,164870.530833333,5.02549482565917,NA,NA,2413484.7975,73.5665452178619,5389178.075,939110.8225,17.4258636369146,284920.643333333,6.01734681484732,510265.073333333,9.4683283096622,NA,NA,3388491.00083333,62.8758403169547,3887861.25333333,378651.675833333,9.73933098843712,161209.298333333,4.39212263741239,177260.049166667,4.55932034649357,NA,NA,2837645.02,72.9873016318957,7854502.18583333,1876080.1475,23.8854112343844,289341.6725,4.6163462097318,1495503.86583333,19.0400846603707,NA,NA,5748092.87583333,73.1821411444866,10463804.9091667,2677608.14,25.5892398916413,500361.325833333,6.03822866016283,1840259.325,17.5869040083867,NA,NA,6462125.68416667,61.7569396626041,998943.424166667,9.54665566529778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1980,"Colorado",2020849.1225,462225.833333333,33004.4841666667,7.14033742524848,17900.4666666667,4.00348764761215,12731.2241666667,2.75432986400948,NA,NA,356153.064166667,77.0517436462335,738439.1075,104233.633333333,14.1153999395046,33388.8683333333,5.00137077379941,48996.9758333333,6.63520869028911,NA,NA,486487.386666667,65.8805014151646,550534.8275,38841.9075,7.05530432586483,19505.83,3.67203989090712,15785.9391666667,2.86738247575566,NA,NA,423691.111666667,76.9599107091307,1118019.75166667,237847.258333333,21.2739764193582,35379.0683333333,3.86423548543016,195373.9725,17.4750018690412,NA,NA,855883.039166667,76.5534810892898,1470264.95083333,342254.675833333,23.278435335029,60231.3625,5.0689489914462,237320.715,16.1413570299345,NA,NA,954528.0825,64.9221816760974,146716.3975,9.97890872776654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1980,"Connecticut",2275874.71416667,458953.6525,33044.6133333333,7.19998918264047,15271.325,3.46146978432406,17149.4633333333,3.73664382883048,NA,NA,345942.916666667,75.3764382922449,786851.330833333,118736.143333333,15.0900352684901,33263.9983333333,4.74265547156367,65198.4741666667,8.28599655510739,NA,NA,511999.134166667,65.0693611491286,553361.935833333,36964.13,6.67991916435922,15728.0391666667,2.95569916673878,17336.8041666667,3.13299543102082,NA,NA,423545.868333333,76.5404775620311,1133053.37416667,235899.259166667,20.819783475793,30540.0741666667,3.2920411190783,198863.590833333,17.5511229539026,NA,NA,868501.6875,76.6514364902502,1481011.34416667,339383.165,22.9156357469337,58157.9658333333,4.84736101310233,229332.6675,15.4848690662151,NA,NA,941572.920833333,63.5763476452732,154536.3275,10.4345134227823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1980,"Delaware",377719.7825,78147.4308333333,7502.10916666667,9.59994344877002,3745.0875,5.03436873375624,3572.88583333333,4.57198118381307,NA,NA,64484.6091666667,82.5166080049315,133946.938333333,22229.5358333333,16.5957774846739,6919.06666666667,5.83215828595371,12147.265,9.06871418723357,NA,NA,90700.6583333333,67.7138719719151,89253.505,7932.1175,8.88717759599469,3871.94416666667,4.54489112107542,3644.91333333333,4.08377613106996,NA,NA,73228.6291666667,82.0456621470122,180809.769166667,46513.7766666667,25.7252563736151,7257.45083333333,5.12700409289467,38376.1441666667,21.2245966263539,NA,NA,148678.5125,82.2292474489867,249689.980833333,66369.36,26.5807061134348,12957.9658333333,6.60182348639967,45422.4033333333,18.1915202130808,NA,NA,168062.196666667,67.3083461762317,18318.37,7.33644575519729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1980,"Florida",5968748.34333333,1132032.16083333,119698.473333333,10.5737696749904,39657.3325,3.76974059151189,72073.8375,6.36676589178735,NA,NA,868825.33,76.7491737478928,1936005.06,388363.804166667,20.060061421878,71081.1283333333,4.39118708857088,263868.796666667,13.6295509819931,NA,NA,1324936.16,68.4366062555642,1243409.01166667,125844.97,10.1209633209363,40582.3433333333,3.50407719256779,76877.9116666667,6.18283372127241,NA,NA,948917.815,76.315822556897,2574825.745,648214.834166667,25.1750952632589,85477.0183333333,4.24817509683758,541800.53,21.042221247481,NA,NA,1971297.25916667,76.5604143501628,3394687.055,882676.605833333,26.0017077136241,139468.549166667,5.26002843146537,643629.451666667,18.9599053237815,NA,NA,2253725.29916667,66.3897809327425,170688.859166667,5.02811765565432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1980,"Georgia",3010483.19,676703.176666667,53887.145,7.96318782858972,18373.0241666667,2.86546128626413,31491.5866666667,4.65367797174963,NA,NA,570644.008333333,84.3270769237756,1095365.9725,173507.670833333,15.8401552713318,37307.3025,3.8895580010308,104823.229166667,9.56969924192772,NA,NA,802887.425,73.2985545614071,760010.049166667,58035.5425,7.63615462238093,19739.1025,2.73503260147636,32600.22,4.28944591400408,NA,NA,633137.3,83.3064379470009,1561410.33833333,370899.751666667,23.7541498580424,45682.6833333333,3.69543213362853,312872.44,20.03781019754,NA,NA,1288051.62416667,82.4928330845783,2055064.00583333,523143.731666667,25.4563230236,79936.1508333333,4.95925999323006,373747.179166667,18.1866442167144,NA,NA,1466105.66083333,71.3411191413877,130762.5875,6.36294476127401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
